reference,value_or_mpn,manufacturer,role,population,datasheet,footprint_status
J1,USB4105-GF-A,GCT,User USB-C charge-only receptacle,FIT,https://gct.co/connector/usb4105,REFERENCE_ONLY_VERIFY_BEFORE_FAB
U1,TPD2EUSB30,Texas Instruments,USB-C CC1/CC2 ESD protection,FIT,https://www.ti.com/product/TPD2EUSB30,REFERENCE_ONLY_VERIFY_BEFORE_FAB
D4,ESDA7P60-1U1M,STMicroelectronics,USB VBUS TVS,FIT,https://www.st.com/en/protections-and-emi-filters/esda7p60-1u1m.html,REFERENCE_ONLY_VERIFY_BEFORE_FAB
F1,1206L075/24,Littelfuse,Resettable USB input fuse,FIT,https://www.littelfuse.com/products/polyswitch-resettable-pptcs/surface-mount/1206l,REFERENCE_ONLY_VERIFY_BEFORE_FAB
R1,5.1k 1%,Generic,USB-C CC1 Rd,FIT,,REFERENCE_ONLY_VERIFY_BEFORE_FAB
R2,5.1k 1%,Generic,USB-C CC2 Rd,FIT,,REFERENCE_ONLY_VERIFY_BEFORE_FAB
U3,BQ25628E,Texas Instruments,1-cell 2A NVDC charger and power path,FIT,https://www.ti.com/lit/ds/symlink/bq25628e.pdf,REFERENCE_ONLY_VERIFY_BEFORE_FAB
L1,1uH XGL4020-102,Coilcraft,BQ25628E power-path inductor,FIT,https://www.coilcraft.com/en-us/products/power/shielded-inductors/xgl/xgl4020/,REFERENCE_ONLY_VERIFY_BEFORE_FAB
C1,1uF 25V X7R,Generic,BQ VBUS bypass,FIT,,REFERENCE_ONLY_VERIFY_BEFORE_FAB
C2,10uF 25V X7R,Generic,BQ PMID bulk,FIT,,REFERENCE_ONLY_VERIFY_BEFORE_FAB
C3,100nF 25V X7R,Generic,BQ PMID high-frequency bypass,FIT,,REFERENCE_ONLY_VERIFY_BEFORE_FAB
C4,47nF 25V X7R,Generic,BQ bootstrap capacitor,FIT,,REFERENCE_ONLY_VERIFY_BEFORE_FAB
C5,4.7uF 10V X7R,Generic,BQ REGN bypass,FIT,,REFERENCE_ONLY_VERIFY_BEFORE_FAB
C6,10uF 10V X7R,Generic,BQ SYS bulk 1 of 2,FIT,,REFERENCE_ONLY_VERIFY_BEFORE_FAB
C7,10uF 10V X7R,Generic,BQ SYS bulk 2 of 2,FIT,,REFERENCE_ONLY_VERIFY_BEFORE_FAB
C8,10uF 10V X7R,Generic,BQ BAT bypass,FIT,,REFERENCE_ONLY_VERIFY_BEFORE_FAB
R3,4.99k 1%,Generic,"BQ input-current limit, about 500mA",FIT,https://www.ti.com/lit/ds/symlink/bq25628e.pdf,REFERENCE_ONLY_VERIFY_BEFORE_FAB
R4,5.23k 1%,Generic,BQ TS upper resistor for 103AT-class NTC,FIT,https://www.ti.com/lit/ds/symlink/bq25628e.pdf,REFERENCE_ONLY_VERIFY_BEFORE_FAB
R5,30.1k 1%,Generic,BQ TS lower resistor for 103AT-class NTC,FIT,https://www.ti.com/lit/ds/symlink/bq25628e.pdf,REFERENCE_ONLY_VERIFY_BEFORE_FAB
J2,Molex 5023520300,Molex,Protected pack connector,FIT,https://www.molex.com/en-us/products/part-detail/5023520300,REFERENCE_ONLY_VERIFY_BEFORE_FAB
RS1,10m 1% Kelvin,Vishay or equivalent,Fuel-gauge low-side shunt,FIT,,REFERENCE_ONLY_VERIFY_BEFORE_FAB
U4,MAX17055ETB+T,Analog Devices,Fuel gauge with current and time estimation,FIT,https://www.analog.com/en/products/MAX17055.html,REFERENCE_ONLY_VERIFY_BEFORE_FAB
C9,100nF 10V X7R,Generic,Fuel-gauge bypass,FIT,,REFERENCE_ONLY_VERIFY_BEFORE_FAB
SW1,LATCHING POWER SLIDE,C&K or Alps TBD,Only latching hardware power control,FIT,,REFERENCE_ONLY_VERIFY_BEFORE_FAB
