net,endpoints,endpoint_count
3V3_PERIPH,U6.VOUT;R8.1;C13.1;R10.2;R11.2;R12.2;U12.VIN;U14.VDD;C19.1;C20.1;J5.VCC;U15.VIN,12
3V3_PG_TP,U6.PG;TP6.1,2
AMBER_LED,U10.IO2;D2.A,2
AMBER_LED_K,D2.K;R13.1,2
AMP_SD,U10.IO42;U14.SD_MODE;R16.1,3
BAT_NTC,U3.TS;R4.2;R5.1;J2.NTC,4
BB_FB,U6.FB;R8.2;R9.1,3
BB_L1,U6.L1;L2.1,2
BB_L2,U6.L2;L2.2,2
BQ_BTST,U3.BTST;C4.1,2
BQ_INT_N_TP,U3.INT_N;TP7.1,2
BQ_PG_N_TP,U3.PG_N;TP11.1,2
BQ_PMID,U3.PMID;C2.1;C3.1,3
BQ_REGN,U3.REGN;C5.1,2
BQ_SW,U3.SW;L1.1;C4.2,3
BTN_CONV,U10.IO40;SW2.SIGNAL;R12.1,3
CAM_3V3,U15.VOUT;J6.VCC;D3.A,3
CAM_CS,U10.IO1;J6.CS,2
CAM_EN,U10.IO17;U15.EN;R17.1,3
CAM_LED_K,D3.K;R18.1,2
CAPTURE_EN,U10.IO41;U12.EN;R14.1,3
CYAN_LED_K,D1.K;R15.1,2
DBG_RX,U10.IO44/RX0;TP2.1,2
DBG_TX,U10.IO43/TX0;TP1.1,2
GAUGE_ALRT_N,U4.ALRT_N;TP10.1,2
GND,J1.GND;J1.SHIELD;U1.GND;D4.A;R1.2;R2.2;U3.GND;U3.CE_N;C1.2;C2.2;C3.2;C5.2;C6.2;C7.2;C8.2;R3.2;R5.2;RS1.SYSTEM;U4.CSN;C9.2;R6.2;U5.GND;R7.2;C10.2;C11.2;U6.GND;R9.2;C12.2;C13.2;U10.GND;C14.2;C15.2;C16.2;C17.2;SW2.GND;R13.2;U12.GND;R14.2;C18.2;U13.GND;U13.OE1_N;U13.OE2_N;MK1.GND;MK1.L/R;R15.2;U14.GND;R16.2;C19.2;C20.2;J5.GND;U15.GND;R17.2;J6.GND;R18.2;TP8.1,55
I2C_SCL,U3.SCL;U4.SCL;R11.1;U10.IO9;J5.TP_SCL,5
I2C_SDA,U3.SDA;U4.SDA;R10.1;U10.IO8;J5.TP_SDA,5
I2S_BCLK,U10.IO6;U14.BCLK,2
I2S_DOUT,U10.IO15;U14.DIN,2
I2S_LRCLK,U10.IO7;U14.LRCLK,2
LCD_BL,U10.IO39;J5.LCD_BL,2
LCD_CS,U10.IO10;J5.LCD_CS,2
LCD_DC,U10.IO38;J5.LCD_DC,2
MAIN_FLT_N,U5.FLT_N;TP5.1,2
MAIN_ILIM,U5.ILIM;R7.1,2
MIC_3V3,U12.VOUT;C18.1;U13.VCC;MK1.VDD;D1.A,5
PACK_N,J2.PACK-;RS1.PACK;U4.CSP,3
PACK_P,U3.BAT;C8.1;J2.PACK+;U4.BATT;C9.1,5
PDM_CLK_MCU,U10.IO4;U13.A1,2
PDM_CLK_MIC,U13.Y1;MK1.CLK,2
PDM_DATA_MCU,U10.IO5;U13.Y2,2
PDM_DATA_MIC,U13.A2;MK1.DATA,2
PWR_SW_ON,SW1.ON;R6.1;U5.ON,3
SPI_MISO,U10.IO13;J6.MISO,2
SPI_MOSI,U10.IO11;J5.LCD_DIN;J6.MOSI,3
SPI_SCK,U10.IO12;J5.LCD_CLK;J6.SCK,3
SPK_N,U14.OUTN;J4.-,2
SPK_P,U14.OUTP;J4.+,2
SYS_ALWAYS,U3.SYS;L1.2;C6.1;C7.1;SW1.COMMON;U5.VIN;C10.1,7
SYS_SW,U5.VOUT;C11.1;U6.VIN;U6.EN;C12.1;U10.VIN;C14.1;C15.1;C16.1;C17.1,10
TOUCH_IRQ,U10.IO16;J5.TP_IRQ,2
TS_BIAS,U3.TS_BIAS;R4.1,2
UI_RST_N,U10.IO18;J5.LCD_RST;J5.TP_RST,3
USB_CC1,J1.CC1;U1.IO1;R1.1,3
USB_CC2,J1.CC2;U1.IO2;R2.1,3
USB_ILIM_500MA,U3.ILIM;R3.1,2
VBUS_5V,F1.2;U3.VBUS;C1.1,3
VBUS_CONN,J1.VBUS;D4.K;F1.1,3
WALTER_3V3_TP,U10.3V3_OUT;TP9.1,2
WALTER_DFU_N,U10.IO0/DFU/3V3_EN;TP3.1,2
WALTER_RESET_N,U10.RESET/EN;TP4.1,2
